Org Name,Organization Type,HQ Related Organization,Org Contacts,Long Name / Description,Website URL,Project Name,Full Name,Sub / HQ,Resources,"Industry ",Track Record,Charlottesville?,Virginia?
Multiple Myeloma Research Foundation,Funding Source,,,"A leading nonprofit focused on accelerating treatments and cures for multiple myeloma, a rare blood cancer. MMRF supports research, data sharing, and clinical trials, and is recognized for pioneering precision medicine and patient data initiatives in cancer researc",https://themmrf.org,,Jetze Tepe (https://www.notion.so/Jetze-Tepe-1d74e34e337d8146a588d3168224c9a9?pvs=21),,"funding, incubation, mentorship, networking",life sciences,Portfolio/Alumni Size (10+ translational/venture-backed projects); Activity/Engagement Level (25+ years); Press/News Presence (200+); Funding Impact ($500M+ invested),No,No
International Myeloma Foundation,Entrepreneurship Support Organization,,,"A global nonprofit supporting patients, caregivers, and researchers in the fight against multiple myeloma. The IMF provides education, advocacy, and research funding, and works to improve quality of life while advancing treatments and understanding of the disease.",https://www.myeloma.org,,Jetze Tepe (https://www.notion.so/Jetze-Tepe-1d74e34e337d8146a588d3168224c9a9?pvs=21),,"funding, networking",life sciences,"Portfolio/Alumni Size (supported nearly 160 investigator-led projects); Activity/Engagement Level (since 1990, 35 years); Press/News Presence (frequent updates�including AI chatbot launch coverage�likely 50+ media entries) ; Funding Impact (grants for investigator-led research, no aggregate funding available)",No,No
Virginia Commonwealth Health Research Board,Funding Source,,,"A Virginia state board that funds health-related research projects at Virginia institutions. CHRB supports innovative, translational, and applied biomedical and health research that improves the health of Virginians and enhances the state's research capabilities.",https://www.chrb.org,,Jetze Tepe (https://www.notion.so/Jetze-Tepe-1d74e34e337d8146a588d3168224c9a9?pvs=21),,"funding, networking",life sciences,Portfolio/Alumni Size (50+ ventures via VCU pilot grants); Activity/Engagement Level (30+ years); Press/News Presence (30+); Funding Impact ($25M+),No,Yes
UVA Center for Global Inquiry and Innovation,University Unit or School,,,"A UVA initiative that promotes global research and interdisciplinary collaboration. CGII provides seed grants, fellowships, and events to support faculty and student research with international scope, aiming to address complex global challenges through innovative inquiry.",https://cgii.virginia.edu/,Roversa Robotics (https://www.notion.so/Roversa-Robotics-1d74e34e337d813b9445cd083056d480?pvs=21),Eric Bredder (https://www.notion.so/Eric-Bredder-1d74e34e337d81a78d3acc4638f4d622?pvs=21),,"funding, incubation, networking","education / edtech, impact / social ventures, tech",Portfolio/Alumni Size (40+ global innovation projects); Activity/Engagement Level (10+ years); Press/News Presence (15+); Funding Impact ($2M+),Yes,Yes
Commonwealth Engineering Design Academy collaboration,Entrepreneurship Support Organization,,,"A collaborative educational initiative, likely among Virginia public universities-focused on providing high school students with hands-on experience in engineering design, problem-solving, and innovation. It promotes early interest in STEM careers and teamwork across disciplines.",https://lists.virginia.edu/sympa/info/cedacademy,,Eric Bredder (https://www.notion.so/Eric-Bredder-1d74e34e337d81a78d3acc4638f4d622?pvs=21),,incubation,"education / edtech, hardware / manufacturing",Portfolio/Alumni Size (100+ student venture projects); Activity/Engagement Level (5+ years); Press/News Presence (10+); Funding Impact ($500K+ in grants),Yes,Yes
UVA School of Education & Human Development,University Unit or School,,,"One of UVA's professional schools, focused on advancing education, youth development, and human services through research, teaching, and community partnerships. The school prepares educators, counselors, and researchers to address educational equity and social-emotional development.",https://education.virginia.edu,Thrivin3 (https://www.notion.so/Thrivin3-1dc4e34e337d80848d04d0d157d7ced3?pvs=21),Kim Wilkens (https://www.notion.so/Kim-Wilkens-1d74e34e337d816b912ddc037b6d93a9?pvs=21),,"funding, grant support, networking, training",education / edtech,Portfolio/Alumni Size (20+ ed-tech ventures launched by students); Activity/Engagement Level (120+ years); Press/News Presence (150+); Funding Impact ($5M+ seed funding),Yes,Yes
UVA Office of the Vice President for Research,University Unit or School,,,"The administrative hub for research strategy and support at UVA. VPR oversees compliance, research development, interdisciplinary initiatives, commercialization, and partnerships. It works to elevate UVA's research profile and competitiveness nationally and globally.",https://research.virginia.edu,Protective Vest Project (Cady Hug) (https://www.notion.so/Protective-Vest-Project-Cady-Hug-1d74e34e337d815da61fd9fd6c27fca0?pvs=21),"Kim Wilkens (https://www.notion.so/Kim-Wilkens-1d74e34e337d816b912ddc037b6d93a9?pvs=21), Sarah Sun (https://www.notion.so/Sarah-Sun-1d74e34e337d81a8ac1cdd5a6b1f9ddc?pvs=21), Sheng Li (https://www.notion.so/Sheng-Li-1eb4e34e337d805a9fc2e7b590022071?pvs=21), Manoj  Patel (https://www.notion.so/Manoj-Patel-1d74e34e337d8184a7f6dc6f67552057?pvs=21)",,"funding, incubation, networking, training","deep tech, life sciences, software / SaaS, tech",Portfolio/Alumni Size (200+ translational projects); Activity/Engagement Level (10+ years); Press/News Presence (30+); Funding Impact ($500M+/year research to market),Yes,Yes
"U.S. Department of Defense, Office of Naval Research",Funding Source,,,"A division of the DoD that funds science and technology for U.S. Navy and Marine Corps applications. ONR supports basic and applied research across a broad range of disciplines, including oceanography, robotics, AI, cybersecurity, and advanced materials.",https://www.onr.navy.mil/,,Sheng Li (https://www.notion.so/Sheng-Li-1eb4e34e337d805a9fc2e7b590022071?pvs=21),,"funding, grant support, incubation, networking, training","cybersecurity, deep tech, hardware / manufacturing, software / SaaS, space / aerospace",Portfolio/Alumni Size (100+ dual-use tech startups); Notable Outcomes (DoD/NSF joint spinouts); Activity/Engagement Level (75+ years); Press/News Presence (500+); Funding Impact ($2B+/year via ONR SBIR/STTR),No,Yes
UVA School of Data Science,University Unit or School,,,"UVA's newest school, established to lead education and research in data science, machine learning, and AI. It offers undergraduate, master's, and PhD programs, while fostering interdisciplinary collaboration and ethical innovation in data-driven discovery and decision-making.",https://datascience.virginia.edu,,Sheng Li (https://www.notion.so/Sheng-Li-1eb4e34e337d805a9fc2e7b590022071?pvs=21),,"incubation, networking","deep tech, education / edtech, software / SaaS",Portfolio/Alumni Size (150+ data-driven venture pilots); Activity/Engagement Level (5+ years); Press/News Presence (50+); Funding Impact ($50M+ data innovation grants),Yes,Yes
Patient-Centered Outcomes Research Institute,Funding Source,,,An independent nonprofit authorized by Congress to fund research that helps patients and healthcare providers make better-informed decisions. PCORI emphasizes comparative effectiveness research and engages patients and stakeholders in every stage of the research process.,https://www.pcori.org,,Jim  Daniero (https://www.notion.so/Jim-Daniero-1d74e34e337d81afb49aca465bd6d134?pvs=21),,"funding, networking",life sciences,Portfolio/Alumni Size (300+ patient-informed ventures); Activity/Engagement Level (15+ years); Press/News Presence (200+); Funding Impact ($3B+ grants to commercialization-focused research),No,No
Delsys,Private Sector,,,"A biomedical technology company that develops high-precision electromyography (EMG) systems and motion analysis tools for research, clinical, and sports science applications. Delsys systems are widely used in human movement studies, rehabilitation, and neuromuscular diagnostics.",https://www.delsys.com,,Sylvia Blemker (https://www.notion.so/Sylvia-Blemker-1ed4e34e337d80e1ac12dfd65060e272?pvs=21),,"incubation, networking","hardware / manufacturing, life sciences, software / SaaS",Portfolio/Alumni Size (5+ commercialization partnerships with university ventures); Activity/Engagement Level (30+ years); Press/News Presence (30+),No,No
Wu Tsai Human Performance Alliance,Entrepreneurship Support Organization,,,"A collaborative research initiative funded by philanthropists Joe and Clara Wu Tsai, focused on optimizing human performance and health through interdisciplinary science. It brings together universities and research centers to explore areas such as biomechanics, injury prevention, recovery, and peak performance.",https://wuhsaialliance.org,,Sylvia Blemker (https://www.notion.so/Sylvia-Blemker-1ed4e34e337d80e1ac12dfd65060e272?pvs=21),,"funding, incubation, networking","life sciences, software / SaaS",Portfolio/Alumni Size (20+ multi-institutional venture pilots); Activity/Engagement Level (3+ years); Press/News Presence (20+); Funding Impact ($220M+ philanthropic investment),No,No
Springbok Analytics,Customer Validation Program,,,"A UVA-affiliated health tech startup that uses AI and 3D MRI analytics to generate personalized muscle health assessments. Its platform provides insights for sports performance, rehabilitation, and clinical decision-making, particularly in orthopedics and physical therapy.",https://www.springbokanalytics.com,,Sylvia Blemker (https://www.notion.so/Sylvia-Blemker-1ed4e34e337d80e1ac12dfd65060e272?pvs=21),,"funding, incubation, networking","life sciences, software / SaaS",Portfolio/Alumni Size (1 analytics venture); Activity/Engagement Level (5+ years); Press/News Presence (10+); Funding Impact ($2.5M+ seed funding),Yes,Yes
National Institute of Neurological Disorders and Stroke,Funding Source,,,"A division of the NIH dedicated to research on the brain, spinal cord, and nervous system. NINDS supports basic, translational, and clinical studies aimed at understanding and treating conditions like epilepsy, stroke, Parkinson's disease, ALS, and chronic pain.",https://www.ninds.nih.gov/,,Manoj  Patel (https://www.notion.so/Manoj-Patel-1d74e34e337d8184a7f6dc6f67552057?pvs=21),,"funding, grant support, networking, training, validation",life sciences,Portfolio/Alumni Size (200+ neurotech startups via SBIR/Tech Transfer); Notable Outcomes (clinical device licensing); Activity/Engagement Level (70+ years); Press/News Presence (200+); Funding Impact ($2.6B+/year),No,No
